Habitat,Twitches,Flee
Invaded,0,1
Invaded,1,3
Invaded,1,5
Invaded,2,5
Invaded,1,6
Invaded,1,6
Invaded,3,6
Invaded,4,7
Invaded,4,7
Invaded,6,8
Invaded,2,9
Invaded,4,9
Invaded,0,10
Invaded,3,11
Invaded,2,12
Invaded,3,13
Invaded,3,14
Invaded,2,17
Invaded,7,18
Invaded,2,21
Invaded,3,21
Invaded,5,23
Invaded,1,25
Invaded,1,29
Invaded,4,30
Invaded,7,33
Invaded,7,36
Invaded,2,38
Invaded,7,39
Invaded,2,40
Invaded,7,42
Invaded,2,46
Invaded,4,52
Invaded,0,61
Invaded,0,61
Invaded,0,61
Invaded,0,61
Invaded,1,61
Invaded,2,61
Invaded,4,61
Uninvaded,0,54
Uninvaded,0,13
Uninvaded,0,14
Uninvaded,0,20
Uninvaded,0,40
Uninvaded,0,61
Uninvaded,0,61
Uninvaded,0,61
Uninvaded,0,61
Uninvaded,0,61
Uninvaded,0,61
Uninvaded,0,61
Uninvaded,0,61
Uninvaded,0,61
Uninvaded,0,61
Uninvaded,0,61
Uninvaded,0,61
Uninvaded,0,61
Uninvaded,0,61
Uninvaded,0,61
Uninvaded,0,61
Uninvaded,0,61
Uninvaded,0,61
Uninvaded,1,10
Uninvaded,1,17
Uninvaded,1,47
Uninvaded,1,55
Uninvaded,1,56
Uninvaded,1,61
Uninvaded,2,23
Uninvaded,2,32
Uninvaded,3,15
Uninvaded,3,25
Uninvaded,3,41
Uninvaded,3,43
Uninvaded,3,50
Uninvaded,3,61
Uninvaded,4,27
Uninvaded,6,32
Uninvaded,6,41
