Circuits,Quality
0,High
0,High
0,High
0,High
0,High
0,High
0,High
0,High
5,High
5,High
10,High
15,High
30,High
35,High
35,High
50,High
50,High
55,High
55,High
65,High
80,High
90,High
95,High
100,High
100,High
105,High
110,High
115,High
115,High
120,High
120,High
125,High
130,High
135,High
165,High
180,High
185,High
225,High
235,High
330,High
440,High
0,Low
0,Low
0,Low
0,Low
0,Low
0,Low
0,Low
0,Low
0,Low
0,Low
0,Low
0,Low
0,Low
0,Low
0,Low
0,Low
0,Low
0,Low
0,Low
5,Low
5,Low
15,Low
15,Low
20,Low
25,Low
30,Low
35,Low
40,Low
45,Low
50,Low
60,Low
85,Low
90,Low
90,Low
140,Low
175,Low
185,Low
