Model,PPM,PhotoTime,Price,CostBW,CostColor
HP Photosmart Pro 8500A e-All-in-One,3.9,67,300,1.6,7.2
Canon Pixma MX882,2.9,63,199,5.2,13.4
Lexmark Impact S305,2.7,43,79,6.9,9
Lexmark Interpret S405,2.9,42,129,4.9,13.9
Epson Workforce 520,2.4,170,70,4.9,14.4
Brother MFC-J6910DW,4.1,143,348,1.7,7.9
HP Officejet 7500A Wide Format e-All-in-One,3.4,66,299,2.7,9.1
Canon Pixma iX7000 Inkjet Business Printer,2.8,66,248,4.1,9.8
Kodak ESP Office 2170 All-in-One Printer,3,42,150,3.7,11.3
HP Photosmart Plus e-All-in-One,3.2,77,150,4.2,11.4
Kodak ESP C310 All-in-One,2.7,44,87,3.7,11.3
Dell P513w All-in-One Wireless,2.7,45,100,8.3,18.6
Brother MFC-J410W,2.2,96,99,5,14.7
Dell V715w,2.5,41,189,3.8,12.4
Kodak ESP C310 All-in-One,2.7,44,99,3.7,11.3
Epson Stylus NX420,1.7,170,60,5.7,14.6
Kodak ESP 7250 All-in-One,2.8,58,199,2.2,6.5
Canon Pixma 420 Wireless Inject Office,1.8,97,149,5.5,13.2
Canon Pixma MX360 Office Inkjet All-in-One,1.8,94,79,5.5,13.2
Epson WorkForce 635,4.1,134,199,3,10.2
